5455	3724
6552	1139
2640	816
1301	1027
4364	177
6759	0
117	283
443	1048
12499	1589
11874	4669
2632	841
2660	151
7096	1836
4700	1444
880	243
3025	2831
543	782
3783	245
6819	328
5449	341
3040	2515
4439	0
1558	714
5940	2116
4862	328
3224	2239
6011	3796
6687	1589
675	731
1792	1949
6743	1708
1208	1506
7666	4069
12003	3587
2990	918
9881	730
1336	1027
2251	2340
1004	665
5959	0
8147	744
7443	1785
2615	2615
3897	1258
3779	2316
2938	2192
158	339
7530	2399
7684	3298
1278	832
911	1277
2280	2393
6213	3302
28	59
262	850
5948	961
7034	157
2118	2117
5635	828
2863	1858
1148	1177
4045	1589
4307	1454
12468	1247
1627	883
3587	2618
6141	3641
12441	1592
110	224
2607	774
472	963
3276	477
12458	1551
9424	102
3024	2234
14606	3598
12499	56
9792	1389
9681	225
10045	4488
3391	2299
8240	743
3039	2236
362	1014
11925	882
4021	2593
1203	869
12581	936
305	962
8425	1152
7228	1967
1052	1443
612	1203
4927	744
8290	4212
10045	796
4195	1915
12	30
489	759
11137	391
3733	2180
7086	1836
1154	769
5047	770
1041	795
3903	3198
13205	4693
6419	257
1370	766
1806	1957
4862	327
147	576
3222	2980
7128	883
10219	3632
310	861
1506	739
12825	1576
4607	1247
402	966
616	854
7702	4080
268	918
2300	2406
5987	0
235	867
886	986
5554	988
4247	1421
378	902
3918	1970
379	795
2339	1175
8067	3628
1783	1285
7515	396
101	2
109	212
3419	2818
12855	3686
901	1073
8149	4190
332	728
2097	473
4588	967
426	515
8051	243
6478	0
99	2
471	869
4153	3442
6143	0
2962	2767
12499	1544
7959	1146
5723	71
1040	835
6796	529
12142	866
9792	477
5599	561
12	26
6984	3912
119	150
5437	886
4093	2218
10844	3364
2650	803
1681	338
2812	1529
33	68
4556	1017
1240	1531
9870	408
903	771
420	744
10045	4520
3172	720
436	813
2657	150
7909	3562
3834	3204
604	1041
3092	245
7518	3239
1045	835
5510	870
13056	1031
7025	248
324	987
147	543
1311	391
1707	1846
11924	747
1330	992
3358	1933
7942	1086
4367	303
1520	1593
1889	2080
8096	759
7878	372
7169	886
559	821
6675	2327
2496	1951
1240	1241
3294	2139
7156	3934
6987	3396
292	908
6985	1715
2712	2643
3968	671
11897	969
12438	1635
1118	835
7658	885
2825	1327
10132	738
4897	1013
1840	2005
4171	1140
452	477
880	1032
9221	648
7933	1039
13418	4597
697	964
1519	759
321	771
2841	1140
4091	3408
4906	670
5523	3732
12499	1346
1250	1534
12438	1644
193	800
2951	1175
499	1107
1607	257
149	625
2898	2717
84	122
4444	1037
6980	2815
917	824
629	1214
6730	40
2780	764
7886	902
9442	4235
32	17
6131	1444
3708	2043
7720	2167
411	760
3016	2826
3866	2287
3347	1751
132	373
6928	928
2962	1820
9315	4259
133	416
2040	1532
12499	1063
39	82
11979	324
266	727
12459	1552
12619	735
1048	760
11241	1346
795	771
2593	2594
4051	2963
1997	919
6840	1793
3668	3149
807	1322
134	438
1809	1513
15715	118
1641	989
3957	3051
7550	40
1179	821
8244	899
7928	1035
4035	3361
7438	4031
8109	795
1233	1194
1352	905
385	1039
922	760
1742	1728
5808	12
4958	515
7700	4078
256	835
4727	962
1269	1545
1204	40
5629	339
7368	4011
10346	1393
1464	766
7568	4044
1521	1633
2315	1285
10509	624
376	1026
3555	1175
309	864
11921	882
4998	3652
710	820
1138	381
6546	1686
103	141
769	773
351	862
1506	742
1067	1217
12979	3563
8149	63
4242	300
1698	1840
4341	3523
8423	57
1126	1478
6287	328
768	1139
9681	2571
8213	328
139	465
9612	58
1840	1986
8259	763
965	287
11141	71
266	911
2468	2522
757	1153
5816	824
7860	824
1274	787
398	872
4607	245
4874	934
954	1170
8149	1618
3675	1785
3290	1598
1477	766
11137	4656
6545	3848
2703	1906
7577	762
12859	745
5026	1002
2843	1422
12471	1588
2367	978
1077	515
11985	4678
4221	1932
954	901
12491	735
1305	1550
8182	2262
1129	1479
3856	3220
4881	3653
2765	1192
4321	3520
6725	1175
6642	2168
6760	2469
10045	4466
844	797
7788	1732
10045	4159
2406	2481
7627	1967
6777	885
2370	2465
10140	4593
1811	1795
5411	1038
1812	1958
1840	1984
2635	2620
287	815
7379	1076
3772	3190
5630	886
12592	70
380	900
4418	425
8149	1625
1067	911
1133	831
4238	3153
2590	883
295	845
236	822
4651	868
2092	735
2350	420
11899	81
4810	41
5517	796
3373	2983
7280	838
1144	827
880	1060
819	850
637	766
9681	4278
47	16
27	19
6210	1496
5094	815
1578	1713
10696	2147
197	806
6485	2450
2853	2242
3708	3167
6935	40
592	963
7418	286
10045	4552
889	974
2973	1716
10306	872
14383	4689
7897	648
4158	1832
7480	1687
12469	1027
12439	1591
1309	747
4925	320
7850	4101
13423	2144
6272	58
2511	2538
5839	795
1351	1576
1723	1869
8	21
2584	2586
3266	757
8079	69
351	822
2237	2123
13746	2323
3860	1790
739	1258
3366	2964
3279	1454
2947	2741
9681	4362
7933	1040
7240	1946
1233	1521
1233	1522
7563	2343
7308	3991
6451	3831
8138	507
2360	1169
2265	1763
3287	1911
171	744
877	1349
302	958
9617	96
7614	1034
5323	883
12491	936
9620	3687
568	1162
222	840
9619	4141
6858	3892
4999	1284
7890	1082
970	740
4925	1217
7656	1139
6612	1701
1854	1012
6485	2453
1343	826
12432	4240
1148	860
6504	3300
5784	2282
4161	733
715	749
11075	4653
1379	739
6510	3237
1012	838
2604	2596
1751	1890
12934	698
60	93
2710	807
5854	478
8231	478
1135	986
6994	1687
2556	1401
7990	1014
9696	4414
4570	1028
3571	2167
7636	77
13612	3612
7638	2299
3570	1701
1307	845
5951	928
4177	1603
5411	1037
5102	3582
3262	2305
6126	1836
1094	1084
7179	396
3838	1513
545	1073
3562	1987
2369	2461
4994	3675
4413	2122
10045	4547
7516	3159
4212	2558
12489	539
147	593
6502	3257
4021	3340
1918	2117
171	743
11914	1031
351	864
5001	3576
5867	770
2962	2572
4265	757
3897	3236
356	813
6653	0
3919	2334
12484	473
1016	1240
7447	4033
7609	4043
149	332
3267	1793
2722	2646
3035	2425
7278	248
7554	2564
5449	291
3961	2528
8141	315
880	1351
1326	735
4	15
1729	1759
1779	1938
4515	1786
5596	387
1133	1379
115	253
1570	648
6295	3822
7619	2625
107	202
6159	2836
5684	3654
6554	2388
5411	1195
3703	1877
5066	1181
2201	1287
2000	2175
1796	1785
415	1056
11726	533
2251	2358
6564	1967
6643	1950
263	906
3262	2118
13327	4704
3060	1454
12085	843
4837	3633
6269	3789
7637	2299
8059	3706
5370	329
793	528
9383	864
11184	33
2251	1775
4313	74
5761	2
10045	4542
3733	1684
5487	1146
7932	80
5446	824
3334	3024
4388	1950
5842	1019
5577	3744
3808	3037
3718	2154
2957	2743
161	555
291	19
9616	96
13698	799
12726	3706
96	18
4554	1327
1572	318
2962	2765
3671	3152
1091	835
1889	1964
1669	1820
5484	3619
10140	2180
2541	1736
3985	3317
8148	57
6776	3883
1714	1787
1032	1050
6660	1008
2140	2265
12755	118
2925	2731
